premise,hypothesis,y_reg_true_raw,y_cls_true_raw,y_reg_true,y_reg_pred,y_cls_true,y_cls_pred,reg_residual,reg_abs_err,cls_correct
There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,3.299999952316284,0,3.299999952316284,2.8440537452697754,0,0,-0.4559462070465088,0.4559462070465088,1
A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,3.700000047683716,0,3.700000047683716,4.180802822113037,0,0,0.4808027744293213,0.4808027744293213,1
A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,3.0,0,3.0,3.199328899383545,0,0,0.19932889938354492,0.19932889938354492,1
A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,4.900000095367432,1,4.900000095367432,5.107934951782227,1,1,0.20793485641479492,0.20793485641479492,1
A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,3.6649999618530273,0,3.6649999618530273,4.081225395202637,0,0,0.4162254333496094,0.4162254333496094,1
Two dogs are wrestling and hugging,There is no dog wrestling and hugging,3.299999952316284,2,3.299999952316284,3.415992021560669,2,2,0.11599206924438477,0.11599206924438477,1
A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,2.700000047683716,0,2.700000047683716,2.540804624557495,0,0,-0.1591954231262207,0.1591954231262207,1
Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,2.9000000953674316,0,2.900000095367432,2.458948373794556,0,0,-0.44105172157287553,0.44105172157287553,1
Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,2.299999952316284,0,2.299999952316284,2.5126774311065674,0,0,0.2126774787902832,0.2126774787902832,1
A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,4.900000095367432,1,4.900000095367432,5.214495658874512,1,1,0.3144955635070801,0.3144955635070801,1
There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,3.5999999046325684,2,3.5999999046325684,3.627006053924561,2,2,0.02700614929199263,0.02700614929199263,1
A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,3.0,0,3.0,4.683063507080078,0,1,1.6830635070800781,1.6830635070800781,0
A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,4.300000190734863,1,4.300000190734863,4.855026245117188,1,1,0.5550260543823251,0.5550260543823251,1
Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,4.099999904632568,2,4.099999904632568,3.613971948623657,2,2,-0.4860279560089116,0.4860279560089116,1
A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,3.200000047683716,0,3.200000047683716,3.076606512069702,0,0,-0.12339353561401367,0.12339353561401367,1
A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,3.299999952316284,0,3.299999952316284,3.754497766494751,0,0,0.4544978141784668,0.4544978141784668,1
A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,4.0,2,4.0,3.4969077110290527,2,2,-0.5030922889709473,0.5030922889709473,1
The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,4.199999809265137,1,4.199999809265137,4.712869167327881,1,1,0.5128693580627441,0.5128693580627441,1
A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,4.699999809265137,1,4.699999809265137,5.016810417175293,1,1,0.31681060791015625,0.31681060791015625,1
The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,3.9000000953674316,2,3.900000095367432,3.406838178634644,2,0,-0.49316191673278764,0.49316191673278764,0
A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,3.5,0,3.5,3.259880304336548,0,0,-0.24011969566345215,0.24011969566345215,1
The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,4.0,0,4.0,4.286616325378418,0,0,0.28661632537841797,0.28661632537841797,1
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.5,2,3.5,3.5400846004486084,2,0,0.0400846004486084,0.0400846004486084,0
The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,3.5999999046325684,0,3.5999999046325684,3.8282997608184814,0,0,0.22829985618591309,0.22829985618591309,1
