err_tag,premise,hypothesis,y_cls_true,y_cls_pred,y_reg_true,y_reg_pred
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,0,1,3.0,4.683063507080078
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,0,1,4.0,5.109639644622803
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A little girl is looking at a woman in costume,A little girl in costume looks like a woman,0,1,2.900000095367432,4.370372772216797
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,0,1,4.0,4.929217338562012
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A person is sitting in a field and is wearing a hat,A man is sitting in a field,0,1,4.0,4.662273406982422
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),People are walking outside a building that has many murals on it,Several people are in front of a colorful building,0,1,3.700000047683716,4.43209171295166
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,0,1,3.700000047683716,4.822567939758301
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,0,1,3.700000047683716,4.4867377281188965
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,0,1,3.5,4.568835258483887
TRUE=NEUTRAL(0) | PRED=ENTAIL(1),A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,0,1,3.900000095367432,5.090315341949463
